id,brand,name,price,quantity
2192,Gigabyte,TURBO OC,2048.20,99
2193,Gigabyte,WINDFORCE,2257.20,22
2194,Gigabyte,WINDFORCE OC,2257.20,96
2195,Inno3D,GAMING OC,2278.10,70
2196,Inno3D,JET,2215.40,17
2197,Inno3D,Twin X2,2278.10,18
2198,KFA2,OC,1985.50,31
2199,MSI,AERO,2257.20,25
2200,MSI,DUKE,2278.10,47
2201,MSI,GAMING TRIO,2152.70,83
2202,MSI,GAMING X TRIO,2048.20,48
2203,MSI,SEA HAWK X,1985.50,39
2204,MSI,VENTUS,2194.50,69
2205,MSI,VENTUS GP,2299.00,74
2206,MSI,VENTUS OC,2048.20,2
2207,NVIDIA,Founders Edition,2194.50,69
2208,Palit,GamingPro,2257.20,12
2209,Palit,GamingPro OC,2299.00,71
2210,Palit,Super JetStream,2048.20,1
2211,PNY,Blower,2257.20,100
2212,PNY,XLR8 Gaming Overclocked Edition,2027.30,18
2213,Zotac,AMP Extreme,2236.30,64
2214,Zotac,AMP Extreme Core,2110.90,30
2215,Zotac,AMP MAXX,2194.50,59
2216,Zotac,Blower,2048.20,43
2217,Zotac,GAMING AMP,2152.70,3
2218,Zotac,ZT-T20800G-10P,1985.50,51
2219,Asus,DUAL EVO,2647.10,61
2220,Asus,DUAL EVO OC,2595.70,61
2221,Asus,STRIX GAMING,2647.10,57
2222,Asus,STRIX GAMING Advanced,2698.50,4
2223,Asus,STRIX GAMING OC,2749.90,7
2224,Asus,Turbo EVO,2492.90,100
2225,EVGA,BLACK GAMING,2749.90,54
2226,EVGA,FTW3 GAMING,2621.40,52
2227,EVGA,FTW3 HYBRID GAMING,2647.10,47
2228,EVGA,FTW3 ULTRA GAMING,2724.20,94
2229,EVGA,GAMING,2518.60,4
2230,EVGA,KO GAMING,2724.20,84
2231,EVGA,XC GAMING,2698.50,95
2232,EVGA,XC HYBRID GAMING,2621.40,95
2233,EVGA,XC ULTRA GAMING,2467.20,13
2234,Gainward,Phantom GLH,2518.60,78
2235,GALAX,EX,2775.60,35
2236,Gigabyte,AORUS,2672.80,73
2237,Gigabyte,AORUS WATERFORCE,2518.60,43
2238,Gigabyte,GAMING OC,2518.60,77
2239,Gigabyte,TURBO,2749.90,99
2240,Gigabyte,WINDFORCE OC,2621.40,69
2241,Inno3D,Gaming OC X2,2441.50,46
2242,Inno3D,Gaming OC X3,2775.60,45
2243,Inno3D,iChill Black,2518.60,10
2244,Inno3D,iChill X3,2570.00,41
2245,Inno3D,iChill X3 Ultra,2544.30,60
