id,brand,name,price,quantity,image
3011,SilentiumPC,Signum SG7V EVO TG ARGB,449,78,https://cdna.pcpartpicker.com/static/forever/images/product/9a74b5007ca37f28206ef125e9d4868d.256p.jpg
3012,SilentiumPC,Signum SG7V TG,419,8,https://cdna.pcpartpicker.com/static/forever/images/product/53e842cc235bf532a1e7add5eabed7f3.256p.jpg
3013,Thermaltake,A500,899,20,https://cdna.pcpartpicker.com/static/forever/images/product/a3668235822b8fc60fda9f65e2a259c7.256p.jpg
3014,Thermaltake,Commander C31 TG ARGB,399,26,https://cdna.pcpartpicker.com/static/forever/images/product/6558aef319aba917ae4bdcd38a9f48f9.256p.jpg
3015,Thermaltake,Commander C32 TG ARGB,489,49,https://cdna.pcpartpicker.com/static/forever/images/product/8c93d37d49d7a1f75c3f5b940c0bb78b.256p.jpg
3016,Thermaltake,Commander C33 TG ARGB,489,99,https://cdna.pcpartpicker.com/static/forever/images/product/142b4041223d62f293270dfba1b86dab.256p.jpg
3017,Thermaltake,Commander C34 TG ARGB,399,86,https://cdna.pcpartpicker.com/static/forever/images/product/7a192b9f1bfe7c3c85ce8e97960448ea.256p.jpg
3018,Thermaltake,Commander C34 TG Snow ARGB,689,55,https://images-fe.ssl-images-amazon.com/images/I/51f2lON5LjL.jpg
3019,Thermaltake,Commander C35 TG ARGB,719,90,https://cdna.pcpartpicker.com/static/forever/images/product/e470670504da493bea7802a2925c18ad.256p.jpg
3020,Thermaltake,Commander C36 TG ARGB,449,41,https://cdna.pcpartpicker.com/static/forever/images/product/936b12b934ad35bb1ec87ee2014d49f8.256p.jpg
3021,Thermaltake,Core G21 Tempered Glass Edition,259,79,https://images-eu.ssl-images-amazon.com/images/I/51x-%2B4VtzmL.jpg
3022,Thermaltake,Core G3,379,4,https://cdna.pcpartpicker.com/static/forever/images/product/bf6f342285b42a5d62992701c1f4b287.256p.jpg
3023,Thermaltake,Core P3,889,94,https://images-na.ssl-images-amazon.com/images/I/416ZmcKlUFL.jpg
3024,Thermaltake,Core P3 TG Curved,1019,10,https://cdna.pcpartpicker.com/static/forever/images/product/00ffb5033414256726a5f33e8ce9d641.256p.jpg
3025,Thermaltake,Core P3 TG Snow Edition,759,40,https://images-na.ssl-images-amazon.com/images/I/511OUL9xDGL.jpg
3026,Thermaltake,Core P90,899,64,https://cdna.pcpartpicker.com/static/forever/images/product/0c3a50c1a60d3fe0540bfc9bbed070a7.256p.jpg
3027,Thermaltake,Core X31,809,18,https://images-na.ssl-images-amazon.com/images/I/5102Xulm11L.jpg
3028,Thermaltake,Core X31 TG,529,68,https://cdna.pcpartpicker.com/static/forever/images/product/66af16c0f7478482b4d5b79ca7839f71.256p.jpg
3029,Thermaltake,H100 TG,319,28,https://images-fe.ssl-images-amazon.com/images/I/41vV%2BHHpL7L.jpg
3030,Thermaltake,H200 TG RGB,339,45,https://images-eu.ssl-images-amazon.com/images/I/41ySFsQERWL.jpg
3031,Thermaltake,H200 TG Snow RGB,489,72,https://images-na.ssl-images-amazon.com/images/I/41CJtMiG9QL.jpg
3032,Thermaltake,H550 TG ARGB,499,56,https://cdna.pcpartpicker.com/static/forever/images/product/5204fc34efeb703ab131d925a98f3d64.256p.jpg
3033,Thermaltake,Level 20 MT,319,96,https://cdna.pcpartpicker.com/static/forever/images/product/aa853f7086d1eec2c2824fa836cc887b.256p.jpg
3034,Thermaltake,Level 20 RS ARGB,769,62,https://cdna.pcpartpicker.com/static/forever/images/product/ef0dfcdedbc2dc9756cdda4ec5bc188b.256p.jpg
3035,Thermaltake,S300 Tempered Glass Edition,399,26,https://cdna.pcpartpicker.com/static/forever/images/product/ed1825d3552267790801f84b79b8fdb4.256p.jpg
3036,Thermaltake,Suppressor F31 TG,699,52,https://images-na.ssl-images-amazon.com/images/I/41VfJhHHxmL.jpg
3037,Thermaltake,Urban S31,479,7,https://images-na.ssl-images-amazon.com/images/I/4183czee1DL.jpg
3038,Thermaltake,V200,259,14,https://images-na.ssl-images-amazon.com/images/I/41apsGd6UrL.jpg
